Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,9/18/2023,DEPOSIT,121.95,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,456.72,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,407.83,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,242.69,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,236.91,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,214.93,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,211.2,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,182.94,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,161.33,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,155.95,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,119.35,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,115.35,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,83.97,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,67.97,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,41.98,DEPOSIT, ,
DSLIP,9/11/2023,DEPOSIT,41.98,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,540.8,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,465.84,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,437.33,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,305.89,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,186.09,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,183.99,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,168.73,DEPOSIT, ,
DSLIP,8/30/2023,DEPOSIT,149.43,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,341.87,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,257.7,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,233.84,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,212.91,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,192.93,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,168.74,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,141.94,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,134.24,DEPOSIT, ,
DSLIP,8/18/2023,DEPOSIT,24.08,DEPOSIT, ,
DSLIP,8/9/2023,DEPOSIT,370.84,DEPOSIT, ,
DSLIP,8/9/2023,DEPOSIT,369.95,DEPOSIT, ,
DSLIP,8/9/2023,DEPOSIT,282.87,DEPOSIT, ,
DSLIP,8/9/2023,DEPOSIT,271.89,DEPOSIT, ,
DSLIP,8/9/2023,DEPOSIT,167.92,DEPOSIT, ,
DSLIP,8/9/2023,DEPOSIT,162.94,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,450.82,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,410.84,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,253.71,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,252.9,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,225.2,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,117.75,DEPOSIT, ,
DSLIP,8/2/2023,DEPOSIT,105.95,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,341.89,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,336.83,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,318.92,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,244.91,DEPOSIT, ,
DSLIP,7/31/2023,DEPOSIT,157.93,DEPOSIT, ,
