Date,Amount
2022-12-27,212.9
2022-12-27,146.53
2022-12-27,127.95
2022-12-13,516.61
2022-12-13,376.85
2022-12-13,371.88
2022-12-13,341.26
2022-12-13,331.82
2022-12-13,263.91
2022-12-13,252.68
2022-12-13,180.9
2022-12-12,2531.67
2022-12-02,465.83
2022-12-02,408.84
2022-12-02,365.98
2022-12-02,291.9
2022-12-02,210.91
2022-12-02,165.94
2022-12-02,123.45
2022-11-21,565.79
2022-11-21,542.79
2022-11-21,355.88
2022-11-21,274.79
2022-11-21,274.4
2022-11-21,221.78
2022-11-21,203.92
2022-11-16,618.78
2022-11-16,553.81
2022-11-16,450.81
2022-11-16,329.07
2022-11-16,282.5
2022-11-16,273.66
2022-11-16,246.47
2022-11-16,219.8
2022-11-16,111.96
2022-11-16,89.97
2022-11-08,435.33
2022-11-08,376.86
2022-11-08,356.05
2022-11-08,219.9
2022-11-08,205.92
2022-11-08,174.71
2022-11-08,167.94
2022-11-08,166.04
2022-11-02,366.0
2022-10-28,726.2
2022-10-28,539.19
2022-10-28,454.83
2022-10-28,321.36
2022-10-28,301.42
2022-10-28,283.9
2022-10-28,220.89
2022-10-28,182.93
2022-10-28,137.74
2022-10-24,415.68
2022-10-24,350.84
2022-10-24,240.69
2022-10-24,240.48
2022-10-24,230.92
2022-10-24,230.91
2022-10-24,223.9
2022-10-24,215.92
2022-10-24,213.9
2022-10-24,213.3
2022-10-24,118.96
2022-10-24,21.99
2022-10-11,404.6
2022-10-11,330.87
2022-10-11,321.39
2022-10-11,308.12
2022-10-11,298.87
2022-10-11,214.93
2022-10-11,183.68
2022-10-11,138.95
2022-10-11,127.95
2022-09-29,399.38
2022-09-29,391.83
2022-09-29,317.88
2022-09-29,314.89
2022-09-29,299.25
2022-09-29,275.86
2022-09-29,250.9
2022-09-29,242.8
2022-09-29,242.27
2022-09-29,161.94
2022-09-29,144.01
2022-09-29,143.44
2022-09-29,124.95
2022-09-29,115.94
2022-09-29,21.99
2022-09-15,411.15
2022-09-15,401.26
2022-09-15,400.66
2022-09-15,381.94
2022-09-15,362.89
2022-09-15,295.38
2022-09-15,291.46
2022-09-15,289.88
2022-09-15,283.59
2022-09-15,274.89
2022-09-15,272.89
2022-09-15,249.89
2022-09-15,234.73
2022-09-15,143.95
2022-08-30,703.69
2022-08-30,459.79
2022-08-30,370.92
2022-08-30,328.91
2022-08-30,273.49
2022-08-30,270.7
2022-08-30,261.11
2022-08-30,190.92
2022-08-30,178.93
2022-08-30,120.53
2022-08-30,65.97
2022-08-22,581.23
2022-08-22,548.96
2022-08-22,467.3
2022-08-22,402.84
2022-08-22,344.88
2022-08-22,315.38
2022-08-22,308.89
2022-08-22,293.68
2022-08-22,252.9
2022-08-22,224.9
2022-08-22,158.92
2022-08-22,148.05
2022-08-22,113.95
2022-08-22,29.99
2022-08-08,452.84
2022-08-08,432.85
2022-08-08,350.9
2022-08-08,301.88
2022-08-08,63.07
2022-08-08,51.98
2022-08-01,508.58
2022-08-01,443.75
2022-08-01,409.85
2022-08-01,369.03
2022-08-01,367.86
2022-08-01,290.02
2022-08-01,260.41
2022-08-01,241.41
2022-08-01,212.4
2022-07-25,559.28
2022-07-25,465.1
2022-07-25,316.36
2022-07-25,299.86
2022-07-25,279.4
2022-07-25,272.91
2022-07-25,266.0
2022-07-25,261.21
2022-07-25,254.38
2022-07-25,198.85
2022-07-25,194.9
2022-07-25,123.97
